4,"Meats, poultry, and fish",1.586,252.276,254.226,253.541,254.331,253.813,253.266,254.491,254.268,255.899,256.269,256.753,257.912,267.876,252.023,254.152,252.931,253.235,252.174,252.456,254.182,254.793,257.330,257.607,258.306,258.251,267.606,6.2,0.2,0.5,3.9,0.3,0.0,3.6,0.058,0.24,L-Feb. 1979,3.8,0.096,0.35,L-Feb. 2015,7.6
5,Meats,0.996,253.466,256.110,255.364,257.517,256.510,256.336,257.392,257.298,258.572,259.503,260.417,261.489,270.149,253.643,256.316,254.620,255.783,253.919,254.974,256.749,258.244,260.721,261.630,262.383,261.601,270.347,6.6,0.4,0.4,3.3,0.3,-0.3,3.3,0.033,0.29,L-Nov. 2003,4.0,0.063,0.44,L-Mar. 2015,8.3
6,Beef and veal,0.455,306.389,309.092,308.185,309.866,308.120,307.493,308.032,308.601,313.818,313.610,314.232,316.270,329.503,305.215,307.517,304.637,306.099,304.832,306.850,310.271,311.453,317.082,317.201,316.952,316.495,328.243,7.5,0.2,0.6,4.2,-0.1,-0.1,3.7,0.017,0.45,L-Aug. 2014,4.1,0.033,0.59,L-Jul. 2015,10.0
7,Uncooked ground beef(4),0.169,267.757,269.603,266.123,268.957,270.224,269.095,272.685,272.517,275.926,277.710,276.504,280.336,293.690,267.757,269.603,266.123,268.957,270.224,269.095,272.685,272.517,275.926,277.710,276.504,280.336,293.690,9.7,-0.4,1.4,4.8,-0.4,1.4,4.8,0.008,0.75,L-Nov. 2003,6.3,0.016,0.86,L-Jun. 2015,10.1
7,Uncooked beef roasts(4)(5),0.070,232.365,239.138,245.025,243.876,237.463,236.045,229.078,231.818,240.213,238.609,241.550,241.647,253.826,232.365,239.138,245.025,243.876,237.463,236.045,229.078,231.818,240.213,238.609,241.550,241.647,253.826,9.2,1.2,0.0,5.0,1.2,0.0,5.0,0.004,1.31,L-Aug. 2014,6.0,0.006,1.62,L-Jul. 2015,9.7
7,Uncooked beef steaks(5),0.176,207.722,209.242,208.177,208.912,207.398,207.137,207.611,207.329,211.160,209.953,210.502,211.594,218.764,205.929,207.538,204.497,204.896,204.253,205.131,208.529,209.875,214.926,214.842,214.636,212.337,216.875,5.3,0.3,0.5,3.4,-0.1,-1.1,2.1,0.004,0.70,L-Dec. 2019,2.4,0.009,0.93,L-Jul. 2015,10.6
7,Uncooked other beef and veal(4)(5),0.041,247.583,245.272,246.474,248.456,246.027,248.732,248.555,251.126,250.883,251.451,253.389,251.510,260.944,247.583,245.272,246.474,248.456,246.027,248.732,248.555,251.126,250.883,251.451,253.389,251.510,260.944,5.4,0.8,-0.7,3.8,0.8,-0.7,3.8,0.002,0.75,L-Nov. 2003,5.8,0.002,1.19,L-Oct. 2018,5.8
6,Pork,0.314,208.776,213.819,213.406,216.545,214.593,215.449,216.288,215.040,213.177,215.090,216.823,217.168,223.007,210.632,215.249,213.361,214.214,210.352,211.690,213.248,215.485,216.893,217.313,219.799,218.457,224.990,6.8,0.8,0.2,2.7,1.1,-0.6,3.0,0.009,0.61,L-May 2014,3.1,0.020,0.91,L-Jan. 2015,7.4
7,"Bacon, breakfast sausage, and related products(5)",0.129,157.418,160.553,163.213,164.136,160.821,161.856,162.977,160.826,160.178,163.837,162.266,161.539,162.428,157.769,161.088,164.247,162.701,158.264,158.628,161.320,162.966,163.819,164.207,163.221,161.668,162.791,3.2,-1.0,-0.4,0.6,-0.6,-1.0,0.7,0.001,0.83,L-Nov. 2019,1.0,0.004,1.14,L-Jan. 2020,3.3
8,Bacon and related products(6),,297.722,303.253,308.388,310.537,301.375,302.182,307.207,305.741,302.752,304.750,303.583,296.226,298.948,299.029,305.536,313.251,309.360,294.922,294.301,302.753,307.524,307.080,306.883,306.826,297.234,300.261,0.4,-0.4,-2.4,0.9,0.0,-3.1,1.0,,0.99,L-Nov. 2019,1.6,,1.48,L-Feb. 2020,2.6
8,Breakfast sausage and related products(5)(6),,141.188,144.378,145.855,147.004,145.690,147.807,147.205,143.345,143.451,149.992,148.035,151.891,151.529,141.398,144.148,144.745,144.833,145.086,146.154,146.452,146.350,147.583,149.279,147.591,152.224,151.755,7.3,-1.3,2.6,-0.2,-1.1,3.1,-0.3,,1.20,S-Feb. 2020,-1.1,,1.62,L-Dec. 2014,7.3
7,Ham,0.068,198.315,204.382,202.671,208.138,212.864,214.492,217.184,210.880,199.772,204.344,209.558,219.842,210.336,204.259,206.401,201.509,203.944,206.570,206.391,208.604,209.281,206.989,210.949,217.752,220.410,216.641,6.1,2.6,4.9,-4.3,3.2,1.2,-1.7,-0.001,1.81,S-Jun. 2019,-2.4,0.004,3.14,S-Jan. 2020,4.6
8,"Ham, excluding canned(6)",,221.008,226.842,224.856,231.385,237.348,238.834,242.928,235.639,221.789,226.858,232.832,244.469,233.472,228.341,230.453,223.199,225.912,229.675,228.762,232.733,233.025,230.388,234.532,244.126,244.589,241.220,5.6,2.6,5.0,-4.5,4.1,0.2,-1.4,,1.73,S-Jun. 2019,-3.1,,3.40,S-Jan. 2020,4.3
7,Pork chops(4),0.048,189.769,194.708,186.744,194.467,193.160,191.184,186.006,191.235,191.834,188.587,193.058,190.618,204.752,189.769,194.708,186.744,194.467,193.160,191.184,186.006,191.235,191.834,188.587,193.058,190.618,204.752,7.9,2.4,-1.3,7.4,2.4,-1.3,7.4,0.004,1.57,L-Jul. 1986,9.8,0.004,2.19,L-Feb. 2015,8.1
7,"Other pork including roasts, steaks, and ribs(5)",0.070,123.497,126.741,125.740,126.525,124.773,125.443,126.783,127.784,129.193,127.855,129.717,127.032,139.949,124.433,127.039,125.978,125.965,122.962,125.640,126.532,126.698,129.392,128.192,130.577,128.046,141.010,13.3,1.5,-2.1,10.2,1.9,-1.9,10.1,0.007,1.30,L-EVER,Ð,0.009,2.01,L-Nov. 2014,14.9
6,Other meats,0.226,224.709,223.669,222.726,224.009,225.478,224.495,226.540,227.145,227.149,228.236,228.312,228.971,234.515,224.415,224.674,225.064,226.164,226.418,225.614,225.217,226.005,225.314,227.946,227.564,227.185,234.208,4.4,0.0,0.3,2.4,-0.2,-0.2,3.1,0.007,0.54,L-EVER,Ð,0.010,0.72,L-Apr. 2015,5.6
7,Frankfurters(6),,234.757,227.986,227.832,224.102,233.618,226.115,236.463,238.933,234.689,243.800,235.332,241.603,251.006,232.713,233.581,235.931,234.553,239.526,229.278,231.468,233.243,228.769,239.722,231.642,235.295,248.822,6.9,-3.5,2.7,3.9,-3.4,1.6,5.7,,1.31,L-Jul. 2005,6.2,,1.91,L-Oct. 2015,9.3
7,Lunchmeats(5)(6),,143.484,144.135,144.319,145.148,145.097,144.625,144.962,145.463,145.986,146.352,146.413,146.050,149.934,143.640,144.122,145.026,145.092,144.884,145.008,144.793,145.365,145.447,146.821,146.226,145.743,150.098,4.5,0.0,-0.2,2.7,-0.4,-0.3,3.0,,0.59,L-EVER,Ð,,0.88,L-Apr. 2015,4.7
7,Lamb and organ meats(4)(6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lamb and mutton(4)(5)(6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Poultry(4),0.324,232.401,232.053,232.471,230.398,230.637,229.692,231.472,230.686,234.502,231.801,232.820,235.803,246.991,232.401,232.053,232.471,230.398,230.637,229.692,231.472,230.686,234.502,231.801,232.820,235.803,246.991,6.3,0.4,1.3,4.7,0.4,1.3,4.7,0.015,0.63,L-EVER,Ð,0.020,0.77,L-Mar. 2012,6.5
7,Chicken(4)(5),0.263,150.926,150.567,150.442,149.390,149.255,147.686,149.301,149.412,152.095,149.467,149.496,151.403,160.175,150.926,150.567,150.442,149.390,149.255,147.686,149.301,149.412,152.095,149.467,149.496,151.403,160.175,6.1,0.0,1.3,5.8,0.0,1.3,5.8,0.015,0.70,L-EVER,Ð,0.016,0.91,L-Oct. 2013,6.1
8,Fresh whole chicken(4)(6),,248.703,248.906,253.919,247.494,247.636,242.076,247.066,246.251,254.314,248.944,246.729,249.805,267.535,248.703,248.906,253.919,247.494,247.636,242.076,247.066,246.251,254.314,248.944,246.729,249.805,267.535,7.6,-0.9,1.2,7.1,-0.9,1.2,7.1,,1.43,L-Mar. 2004,7.3,,1.77,L-Sep. 2013,8.5
8,Fresh and frozen chicken parts(4)(6),,225.309,224.287,221.976,222.480,221.725,220.487,222.679,222.913,225.547,222.016,223.032,225.667,237.339,225.309,224.287,221.976,222.480,221.725,220.487,222.679,222.913,225.547,222.016,223.032,225.667,237.339,5.3,0.5,1.2,5.2,0.5,1.2,5.2,,0.77,L-Jul. 1988,8.9,,1.08,L-Oct. 2013,5.5
7,Other uncooked poultry including turkey(5),0.061,145.284,145.666,147.709,145.093,146.537,150.233,149.289,146.009,147.475,149.683,153.139,155.139,155.424,145.529,144.837,146.152,144.609,146.202,149.651,148.086,148.932,149.711,149.800,152.615,155.099,155.686,7.0,2.3,1.3,0.2,1.9,1.6,0.4,0.000,1.43,S-Jan. 2020,0.1,0.004,2.42,S-Feb. 2020,3.3
6,Fish and seafood,0.267,298.330,301.048,298.810,298.232,298.622,297.023,298.194,298.291,298.123,300.842,298.721,297.550,311.987,295.755,299.612,297.772,298.110,298.430,297.285,298.847,297.833,298.787,300.989,301.024,299.400,309.293,4.6,-0.7,-0.4,4.9,0.0,-0.5,3.3,0.009,0.47,L-Oct. 1950,4.6,0.012,0.76,L-Sep. 2014,6.1
7,Fresh fish and seafood(5),0.137,185.446,186.930,185.953,184.897,185.321,183.794,185.344,185.024,186.119,188.896,188.573,189.458,197.665,184.471,186.530,184.985,185.218,185.124,184.722,186.679,185.568,186.879,188.142,188.646,188.744,196.627,6.6,-0.2,0.5,4.3,0.3,0.1,4.2,0.006,0.71,L-EVER,Ð,0.009,1.11,L-Sep. 2014,7.4
7,Processed fish and seafood(5),0.130,148.998,150.530,149.061,149.364,149.404,149.059,148.945,149.316,148.213,148.695,146.836,144.951,152.777,148.964,149.604,148.874,148.859,148.811,148.481,148.212,148.165,147.886,149.282,148.494,147.690,152.742,2.5,-1.3,-1.3,5.4,-0.5,-0.5,3.4,0.005,0.65,L-EVER,Ð,0.003,1.15,L-May 2019,2.7
8,Shelf stable fish and seafood(4)(6),,217.159,218.922,217.820,215.587,213.801,217.929,216.617,214.588,214.012,215.459,212.508,211.270,219.757,217.159,218.922,217.820,215.587,213.801,217.929,216.617,214.588,214.012,215.459,212.508,211.270,219.757,1.2,-1.4,-0.6,4.0,-1.4,-0.6,4.0,,0.97,L-EVER,Ð,,1.59,L-Oct. 2019,1.3
8,Frozen fish and seafood(6),,306.897,311.132,306.857,309.332,310.576,306.704,309.876,311.690,307.827,308.041,305.140,297.425,319.781,307.644,308.054,307.050,306.938,308.974,305.257,308.120,309.311,308.808,308.878,309.087,303.056,320.560,4.2,-0.9,-2.5,7.5,0.1,-2.0,5.8,,0.84,L-EVER,Ð,,1.70,L-Oct. 2017,4.9
5,Eggs,0.101,208.727,198.552,191.161,192.124,187.986,202.825,198.374,200.008,213.421,208.788,209.359,212.876,244.826,205.121,201.780,198.583,199.250,193.489,205.146,200.899,201.812,206.218,203.390,201.710,207.307,240.596,17.3,0.3,1.7,15.0,-0.8,2.8,16.1,0.016,0.98,L-Jun. 2015,18.3,0.017,1.58,L-May 2018,21.6
3,Dairy and related products,0.778,217.510,217.841,217.433,217.626,218.758,219.771,220.738,221.515,221.924,223.035,224.443,225.627,228.755,217.461,218.602,219.035,218.742,219.183,219.670,220.062,221.143,221.204,221.628,224.105,225.347,228.703,5.2,0.6,0.5,1.4,1.1,0.6,1.5,0.012,0.31,L-Apr. 2011,2.3,0.038,0.43,L-Dec. 2014,5.3
4,Milk(5),0.210,139.626,139.377,139.485,140.072,141.062,141.841,143.000,143.933,144.845,146.652,146.240,146.295,147.742,140.345,140.299,140.894,141.162,141.592,141.977,142.375,142.713,142.859,145.861,146.018,146.250,148.502,5.8,-0.3,0.0,1.0,0.1,0.2,1.5,0.003,0.48,L-Jan. 2020,2.1,0.012,0.78,L-Feb. 2020,6.0
5,Fresh whole milk(6),,199.559,197.641,199.557,200.314,200.148,200.912,204.033,205.147,206.342,209.253,208.440,208.402,209.286,200.669,199.394,201.398,201.290,201.324,201.244,202.599,203.504,204.072,207.774,208.088,208.313,210.450,4.9,-0.4,0.0,0.4,0.2,0.1,1.0,,0.70,L-Jan. 2020,1.8,,1.41,S-Nov. 2019,4.4
5,Fresh milk other than whole(5)(6),,144.077,144.586,144.136,144.551,146.305,146.768,147.528,148.691,148.983,151.053,150.743,150.732,152.919,144.950,145.420,145.569,146.026,146.613,146.916,146.858,147.360,147.253,150.406,150.301,150.458,153.845,6.1,-0.2,0.0,1.5,-0.1,0.1,2.3,,0.52,L-Apr. 2011,2.7,,1.25,L-Feb. 2012,8.0
4,Cheese and related products(4),0.261,225.237,226.827,228.269,227.813,229.276,229.735,232.490,233.878,234.486,233.932,236.598,236.610,240.897,225.237,226.827,228.269,227.813,229.276,229.735,232.490,233.878,234.486,233.932,236.598,236.610,240.897,7.0,1.1,0.0,1.8,1.1,0.0,1.8,0.005,0.55,L-Mar. 2014,2.0,0.017,0.71,L-Jan. 2015,7.8
4,Ice cream and related products,0.110,224.369,220.539,214.387,213.859,216.612,221.951,225.138,225.638,224.202,227.147,226.516,228.986,233.015,221.936,223.232,219.324,220.437,220.800,222.569,224.189,224.489,221.570,222.704,221.477,226.344,230.489,3.9,-0.3,1.1,1.8,-0.6,2.2,1.8,0.002,0.86,S-Feb. 2020,-0.6,0.004,1.16,L-May 2012,6.1
4,Other dairy and related products(4)(5),0.197,148.355,149.642,149.544,149.952,149.596,149.027,146.819,146.489,146.563,146.900,149.050,151.200,152.772,148.355,149.642,149.544,149.952,149.596,149.027,146.819,146.489,146.563,146.900,149.050,151.200,152.772,3.0,1.5,1.4,1.0,1.5,1.4,1.0,0.002,0.56,S-Jan. 2020,0.2,0.006,0.87,L-Apr. 2015,3.4
3,Fruits and vegetables,1.323,303.503,302.352,298.611,299.350,298.600,297.309,301.318,297.472,297.105,301.679,299.817,299.641,304.809,303.298,301.749,300.704,300.912,300.180,298.193,299.710,298.676,297.708,297.874,297.828,300.102,304.629,0.4,-0.6,-0.1,1.7,0.0,0.8,1.5,0.020,0.35,L-Dec. 2018,1.5,0.007,0.58,L-Nov. 2019,0.4
4,Fresh fruits and vegetables,1.040,353.656,351.035,345.165,346.778,345.918,344.181,350.148,345.551,344.851,350.506,347.538,346.823,351.845,353.260,350.917,349.112,349.841,348.905,345.835,347.453,345.660,344.144,344.899,345.046,347.321,351.484,-0.5,-0.8,-0.2,1.4,0.0,0.7,1.2,0.012,0.41,L-Dec. 2018,1.7,-0.004,0.61,L-Nov. 2019,-0.1
5,Fresh fruits,0.534,366.358,364.403,356.912,355.842,353.387,354.560,363.135,354.704,353.047,352.185,350.446,352.394,360.185,364.519,361.791,360.771,359.812,357.107,353.888,357.029,354.118,354.951,349.945,350.257,353.831,358.375,-1.7,-0.5,0.6,2.2,0.1,1.0,1.3,0.007,0.56,L-Dec. 2018,1.3,-0.009,0.64,L-Nov. 2019,-1.5
6,Apples,0.073,343.561,344.742,347.240,354.683,359.976,336.943,333.259,322.440,314.932,317.302,315.191,310.774,328.641,343.869,342.525,341.576,341.150,339.348,330.651,340.561,333.439,327.816,324.892,319.835,313.666,328.937,-4.3,-0.7,-1.4,5.7,-1.6,-1.9,4.9,0.004,1.21,L-Sep. 2011,5.6,-0.003,1.68,L-Dec. 2019,-3.9
6,Bananas(4),0.077,194.449,196.124,197.120,194.956,195.099,194.269,195.904,197.388,197.506,195.848,195.034,195.553,195.890,194.449,196.124,197.120,194.956,195.099,194.269,195.904,197.388,197.506,195.848,195.034,195.553,195.890,0.7,-0.4,0.3,0.2,-0.4,0.3,0.2,0.000,0.80,S-Feb. 2020,-0.4,0.001,1.27,L-Nov. 2019,2.0
6,Citrus fruits(5),0.129,252.581,255.828,257.814,262.994,262.815,265.105,271.388,257.927,242.295,238.849,232.326,232.223,245.671,261.337,257.168,253.470,252.602,250.125,250.678,252.146,257.495,253.775,253.292,246.536,243.814,254.189,-2.7,-2.7,0.0,5.8,-2.7,-1.1,4.3,0.006,0.97,L-Mar. 2014,5.6,-0.004,1.55,L-Apr. 2019,-2.0
7,"Oranges, including tangerines(6)",,484.468,501.278,513.497,537.475,536.257,527.143,546.346,517.973,476.229,471.217,455.632,449.124,475.288,519.915,514.444,504.649,501.515,496.651,494.972,495.405,510.903,506.094,505.153,486.309,482.862,510.064,-1.9,-3.3,-1.4,5.8,-3.7,-0.7,5.6,,1.35,L-Jun. 2017,6.2,,2.14,L-Mar. 2019,2.7
6,Other fresh fruits(5),0.255,123.774,120.773,113.872,111.029,108.536,111.616,116.389,114.989,119.388,119.723,120.582,122.423,122.442,119.381,118.254,119.566,118.958,117.734,115.862,116.579,114.455,115.988,111.773,115.119,120.402,118.096,-1.1,0.7,1.5,0.0,3.0,4.6,-1.9,-0.005,0.97,S-Jan. 2020,-3.6,-0.002,1.12,S-Feb. 2020,-2.7
5,Fresh vegetables,0.506,338.968,335.667,331.504,335.892,336.692,331.944,335.179,334.579,334.875,347.123,342.920,339.504,341.690,340.071,338.137,335.525,338.001,338.905,336.003,336.035,335.409,331.461,338.122,338.102,339.046,342.800,0.8,-1.2,-1.0,0.6,0.0,0.3,1.1,0.006,0.59,L-Jan. 2020,2.0,0.004,0.97,L-Jan. 2020,1.1
